,cell_type,gene,avg_logFC,p_val,p_val_adj,de_family,de_method,de_type
1291,cell,ATXN10,-0.909834700357633,0.0555142685151852,0.150500093881596,pseudobulk,edgeR,QLF
1292,cell,ATXN1L,-2.01693179750273,1.12099245494018e-05,0.000301278836736949,pseudobulk,edgeR,QLF
1293,cell,ATXN2,-1.12644220189265,0.0320533223271847,0.104942701078927,pseudobulk,edgeR,QLF
1294,cell,ATXN2L,-0.34959263428946,0.255777821430614,0.414969819063654,pseudobulk,edgeR,QLF
1295,cell,ATXN3,0.39169513008185,0.470221709378944,0.624809647405291,pseudobulk,edgeR,QLF
1296,cell,ATXN3L,1.29110825902496,0.0136499570130629,0.0588396184084506,pseudobulk,edgeR,QLF
1297,cell,ATXN7,-0.295094801525141,0.428136457108661,0.587723399569774,pseudobulk,edgeR,QLF
1298,cell,ATXN7L1,0.763855581534621,0.0760238160573622,0.18529740801486,pseudobulk,edgeR,QLF
1299,cell,ATXN7L2,0.889161486092498,0.0448385105544756,0.130188029088119,pseudobulk,edgeR,QLF
1300,cell,ATXN7L3,0.512496555847587,0.164758793857044,0.311153044148311,pseudobulk,edgeR,QLF
1301,cell,ATXN7L3B,0.199993718668824,0.976752813915749,0.988090141951943,pseudobulk,edgeR,QLF
1302,cell,AUH,-0.336872364239528,0.485488578060174,0.638959424074116,pseudobulk,edgeR,QLF
1303,cell,AUNIP,1.37791675676736,0.0160709959624401,0.0657350453294666,pseudobulk,edgeR,QLF
1304,cell,AUP1,-0.0757966017565178,0.837865626536971,0.906857173223906,pseudobulk,edgeR,QLF
1305,cell,AURKA,-0.793105799930998,0.132985959902177,0.26862184579764,pseudobulk,edgeR,QLF
1306,cell,AURKAIP1,-0.18441944505289,0.336335739683967,0.501088835394569,pseudobulk,edgeR,QLF
1307,cell,AURKB,1.71514945276781,0.00341843535293894,0.0225180719132544,pseudobulk,edgeR,QLF
1308,cell,AURKC,2.07035548549889,4.50809898349831e-05,0.000874976501096559,pseudobulk,edgeR,QLF
1309,cell,AUTS2,0.543053687799575,0.316762974421499,0.480659209153092,pseudobulk,edgeR,QLF
1310,cell,AVEN,-1.36774228189371,0.122785048483593,0.254748245196439,pseudobulk,edgeR,QLF
1311,cell,AVIL,0.626955243870111,0.0850860692576927,0.199977994429748,pseudobulk,edgeR,QLF
1312,cell,AVL9,0.474985851954206,0.133835030490605,0.269620383085554,pseudobulk,edgeR,QLF
1313,cell,AVP,0.788074693938167,0.0393624423323501,0.120126443713146,pseudobulk,edgeR,QLF
1314,cell,AVPI1,0.809723875509102,0.0667217972997868,0.170362075733829,pseudobulk,edgeR,QLF
1315,cell,AVPR1A,0.525754658217829,0.024664165486443,0.0881031957324312,pseudobulk,edgeR,QLF
1316,cell,AVPR1B,-0.877287521760806,0.0544528373288898,0.148517377403493,pseudobulk,edgeR,QLF
1317,cell,AVPR2,0.68827969970901,0.0609739252692625,0.16027137177597,pseudobulk,edgeR,QLF
1318,cell,AWAT1,0.657673842462983,0.103720095265586,0.227619277443651,pseudobulk,edgeR,QLF
1319,cell,AWAT2,-0.112041853810343,0.824446305622911,0.896762956305908,pseudobulk,edgeR,QLF
1320,cell,AXDND1,1.84735950618724,0.0178122357225464,0.070373611670607,pseudobulk,edgeR,QLF
1321,cell,AXIN1,0.230847115183895,0.482452194286888,0.6361302366633,pseudobulk,edgeR,QLF
1322,cell,AXIN2,-0.806842032261676,0.114772420543846,0.243166951470766,pseudobulk,edgeR,QLF
1323,cell,AXL,-0.916717397452742,0.0557816825643795,0.150690650993526,pseudobulk,edgeR,QLF
1324,cell,AZGP1,0.422034161669092,0.268443544668434,0.429300702006988,pseudobulk,edgeR,QLF
1325,cell,AZI2,0.19521678238689,0.550621849814086,0.692108547929937,pseudobulk,edgeR,QLF
1326,cell,AZIN1,-0.299677064546824,0.560010084666896,0.70008767420958,pseudobulk,edgeR,QLF
1327,cell,AZIN2,1.1221413775942,0.0181935968340733,0.0713963745316927,pseudobulk,edgeR,QLF
1328,cell,AZU1,0.03560251996374,0.918816927473586,0.958946281352276,pseudobulk,edgeR,QLF
1329,cell,B2M,0.0418901946427368,0.835627607267672,0.905181296836462,pseudobulk,edgeR,QLF
1330,cell,B3GALNT1,1.17838600026102,0.0431789196018468,0.12712239990572,pseudobulk,edgeR,QLF
1331,cell,B3GALNT2,2.10551429802478,0.000425199362891393,0.00477472703622082,pseudobulk,edgeR,QLF
1332,cell,B3GALT1,0.778857194984528,0.161392495329321,0.307047411554721,pseudobulk,edgeR,QLF
1333,cell,B3GALT2,1.15768189186817,0.0180163564736759,0.0708797892737827,pseudobulk,edgeR,QLF
1334,cell,B3GALT4,-0.28698240527246,0.565816740342273,0.704795902288238,pseudobulk,edgeR,QLF
1335,cell,B3GALT5,0.792594143275661,0.102054051768187,0.224946621446931,pseudobulk,edgeR,QLF
1336,cell,B3GALT6,-0.149992291402088,0.695197966571613,0.805236131268155,pseudobulk,edgeR,QLF
1337,cell,B3GAT1,0.146840506101889,0.672950364926688,0.788880033097391,pseudobulk,edgeR,QLF
1338,cell,B3GAT2,-0.134995380034185,0.247684172955332,0.406890192458161,pseudobulk,edgeR,QLF
